id_cliente;nome;cidade_origem;estado_origem;faixa_etaria;tipo_cliente
36;Larissa Sousa;Salvador;DF;18-25;PF
37;Nicolas Cunha;Salvador;CE;65+;Corporativo
38;Daniela Ramos;São Paulo;PR;18-25;PF
39;Ivan Azevedo;Curitiba;ES;;Corporativo
40;Xuxa Farias;Rio de Janeiro;BA;26-35;Corporativo
41;Quincy Braga;Salvador;PA;56-65;Corporativo
42;Henrique Rocha;Curitiba;SP;65+;PF
43;Roberta Leite;Recife;CE;;Corporativo
44;Rafael Cardoso;Fortaleza;RJ;18-25;Corporativo
45;Julia Monteiro;Belo Horizonte;PE;46-55;PF
46;Ivan Azevedo;Rio de Janeiro;RJ;36-45;PF
47;Wesley Araujo;Recife;ES;65+;PF
48;Natalia Campos;Recife;PE;26-35;PF
49;Bruno Costa;Curitiba;MG;65+;Corporativo
50;Rafael Cardoso;Curitiba;MG;65+;PF
51;Daniela Ramos;Salvador;PR;36-45;PF
52;Elena Santos;Brasília;AM;36-45;Corporativo
53;Bruno Costa;Recife;SP;;PF
54;Wesley Araujo;Curitiba;PE;36-45;Corporativo
55;Quezia Nunes;Curitiba;RJ;65+;Corporativo
56;Xuxa Farias;Salvador;SC;18-25;Corporativo
57;Gustavo Vieira;Curitiba;BA;65+;Corporativo
58;Abel Correia;Rio de Janeiro;CE;46-55;PF
59;Thiago Matos;Fortaleza;BA;26-35;Corporativo
60;Carlos Neto;São Paulo;CE;26-35;Corporativo
61;Sara Teixeira;Salvador;GO;65+;Corporativo
62;Olivia Freitas;São Paulo;AM;26-35;PF
63;Daniela Ramos;Belo Horizonte;SC;65+;PF
64;Patricia Vaz;Fortaleza;PE;18-25;PF
65;Diego Ferreira;Brasília;GO;26-35;PF
66;Wilson Duarte;Fortaleza;RS;56-65;Corporativo
67;Carlos Neto;Salvador;BA;26-35;Corporativo
68;Carlos Neto;São Paulo;SP;65+;Corporativo
69;Isabela Martins;Recife;MG;;Corporativo
70;Victor Gomes;Rio de Janeiro;GO;46-55;Corporativo
71;Wilson Duarte;Recife;DF;46-55;Corporativo
72;Ivan Azevedo;Recife;PE;65+;PF
73;Victor Gomes;Rio de Janeiro;CE;65+;Corporativo
74;Zara Moraes;Belo Horizonte;DF;56-65;PF
75;Diego Ferreira;Recife;BA;46-55;Corporativo
76;Rafael Cardoso;Rio de Janeiro;AM;46-55;Corporativo
77;Wesley Araujo;Curitiba;ES;65+;PF
78;Marina Barbosa;Curitiba;PA;18-25;PF
79;Daniela Ramos;São Paulo;PE;36-45;Corporativo
80;Ximena Godoi;Recife;PA;26-35;Corporativo
81;Zara Moraes;Salvador;PE;26-35;PF
82;Roberta Leite;Brasília;DF;18-25;PF
83;Ana Silva;Fortaleza;PA;46-55;Corporativo
84;Tatiana Coelho;Fortaleza;MG;46-55;PF
85;Daniela Ramos;Salvador;SC;65+;Corporativo
86;Carlos Neto;Fortaleza;ES;46-55;Corporativo
87;Nicolas Cunha;Rio de Janeiro;PR;36-45;Corporativo
88;Helena Borges;Fortaleza;ES;18-25;PF
89;Patricia Vaz;Curitiba;PE;46-55;Corporativo
90;Thiago Matos;Brasília;CE;56-65;Corporativo
91;Wesley Araujo;Brasília;PE;46-55;Corporativo
92;Henrique Rocha;Salvador;PE;56-65;PF
93;Gabriela Lima;Belo Horizonte;PA;;Corporativo
94;Rafael Cardoso;Fortaleza;RJ;18-25;Corporativo
95;Gabriela Lima;Rio de Janeiro;PA;18-25;Corporativo
96;Quezia Nunes;Rio de Janeiro;PA;;PF
97;João Pereira;Recife;MG;56-65;Corporativo
98;Marcos Andrade;Salvador;DF;56-65;PF
99;Larissa Sousa;Curitiba;SC;36-45;PF
100;Otavio Reis;Rio de Janeiro;ES;;PF
101;Abel Correia;Fortaleza;RS;65+;Corporativo
102;Elena Santos;Curitiba;CE;26-35;Corporativo
103;Beatriz Dias;São Paulo;SP;56-65;PF
104;Diego Ferreira;Recife;MG;36-45;Corporativo
105;Rafael Cardoso;Brasília;GO;56-65;Corporativo
106;Marcos Andrade;Rio de Janeiro;BA;18-25;PF
107;Wilson Duarte;Fortaleza;CE;36-45;PF
108;Rafael Cardoso;Brasília;MG;;Corporativo
109;Abel Correia;Salvador;PR;36-45;PF
110;Quincy Braga;Recife;SC;56-65;PF
111;Gustavo Vieira;Fortaleza;PA;18-25;Corporativo
112;Otavio Reis;Fortaleza;RS;18-25;PF
113;Henrique Rocha;Recife;RJ;;PF
114;Felipe Oliveira;Salvador;ES;18-25;Corporativo
115;Gustavo Vieira;Belo Horizonte;PE;36-45;Corporativo
116;Yuri Castro;Recife;ES;56-65;PF
117;Victor Gomes;Fortaleza;AM;56-65;Corporativo
118;João Pereira;Fortaleza;RS;56-65;Corporativo
119;Ursula Pinto;Rio de Janeiro;PA;26-35;PF
120;Ursula Pinto;Belo Horizonte;PE;46-55;Corporativo
121;Fernanda Cruz;Fortaleza;RJ;26-35;Corporativo
122;Ana Silva;Salvador;PE;;Corporativo
123;Victor Gomes;Recife;DF;65+;Corporativo
124;Ursula Pinto;Salvador;CE;;Corporativo
125;Olivia Freitas;São Paulo;PE;18-25;Corporativo
126;Carlos Neto;Salvador;MG;65+;Corporativo
127;Wesley Araujo;Belo Horizonte;PR;46-55;PF
128;Karen Alves;Belo Horizonte;MG;18-25;Corporativo
129;Olivia Freitas;Fortaleza;RS;65+;Corporativo
130;Sara Teixeira;Salvador;CE;56-65;PF
131;Otavio Reis;Fortaleza;SC;65+;Corporativo
132;Gabriela Lima;Recife;ES;46-55;Corporativo
133;Rafael Cardoso;Salvador;RJ;56-65;PF
134;Ximena Godoi;Belo Horizonte;AM;26-35;Corporativo
135;Otavio Reis;Belo Horizonte;SP;65+;PF
136;Felipe Oliveira;Brasília;BA;36-45;Corporativo
137;Helena Borges;Salvador;GO;36-45;PF
138;Vanessa Cavalcanti;Curitiba;PA;36-45;PF
139;Roberta Leite;Recife;PE;65+;Corporativo
140;Ana Silva;Recife;BA;56-65;PF
141;Otavio Reis;Brasília;PR;18-25;PF
142;Natalia Campos;Recife;ES;65+;PF
143;Henrique Rocha;Belo Horizonte;MG;;PF
144;Yuri Castro;São Paulo;RS;36-45;Corporativo
145;Fernanda Cruz;Curitiba;DF;46-55;Corporativo
146;Xuxa Farias;Recife;SP;65+;Corporativo
147;Rafael Cardoso;Rio de Janeiro;ES;18-25;Corporativo
148;Diego Ferreira;Curitiba;AM;36-45;PF
149;Larissa Sousa;Salvador;ES;26-35;Corporativo
150;João Pereira;Belo Horizonte;MG;56-65;Corporativo
151;Ana Silva;Recife;PR;26-35;Corporativo
152;Helena Borges;São Paulo;SP;65+;PF
153;Carlos Neto;Salvador;GO;26-35;PF
154;Daniela Ramos;São Paulo;CE;18-25;PF
155;Fernanda Cruz;Belo Horizonte;PE;46-55;PF
156;Rafael Cardoso;Recife;DF;65+;Corporativo
157;Gabriela Lima;Curitiba;AM;65+;PF
158;Beatriz Dias;São Paulo;RS;26-35;Corporativo
159;Ursula Pinto;São Paulo;SC;36-45;Corporativo
160;Felipe Oliveira;Belo Horizonte;PA;18-25;PF
161;Julia Monteiro;Recife;RJ;56-65;Corporativo
162;Ulisses Brito;Fortaleza;RJ;36-45;Corporativo
163;Olivia Freitas;Curitiba;PA;18-25;Corporativo
164;Beatriz Dias;Rio de Janeiro;PA;56-65;PF
165;Lucas Souza;Belo Horizonte;BA;65+;Corporativo
166;Kleber Pires;Curitiba;CE;;PF
167;Yuri Castro;São Paulo;SC;46-55;Corporativo
168;Diego Ferreira;Fortaleza;MG;26-35;PF
169;Marcos Andrade;São Paulo;RS;46-55;Corporativo
170;Sara Teixeira;Rio de Janeiro;CE;65+;Corporativo
171;Ana Silva;São Paulo;ES;36-45;PF
172;Ana Silva;Brasília;RS;65+;Corporativo
173;Elena Santos;Brasília;SC;;PF
174;Kleber Pires;Rio de Janeiro;SC;56-65;Corporativo
175;Ursula Pinto;São Paulo;MG;;Corporativo
176;Paulo Ribeiro;Brasília;SC;56-65;Corporativo
177;Olivia Freitas;Brasília;PR;26-35;PF
178;Wesley Araujo;Belo Horizonte;PE;65+;PF
179;Wilson Duarte;Fortaleza;AM;65+;PF
180;Roberta Leite;São Paulo;DF;65+;Corporativo
181;Eduardo Lopes;São Paulo;RS;65+;Corporativo
182;Thiago Matos;São Paulo;RS;;PF
183;Natalia Campos;Rio de Janeiro;DF;56-65;Corporativo
184;Carlos Neto;Rio de Janeiro;AM;56-65;PF
185;Carlos Neto;Fortaleza;SP;36-45;PF
186;Carlos Neto;Brasília;GO;56-65;PF
187;Roberta Leite;Salvador;DF;18-25;Corporativo
188;Quezia Nunes;Brasília;PE;65+;PF
189;Thiago Matos;Recife;CE;;Corporativo
190;Patricia Vaz;São Paulo;AM;36-45;PF
191;Patricia Vaz;Brasília;CE;46-55;Corporativo
192;Ximena Godoi;São Paulo;RS;26-35;PF
193;Gustavo Vieira;Recife;AM;56-65;PF
194;João Pereira;Curitiba;MG;26-35;PF
195;Carlos Neto;Fortaleza;DF;36-45;Corporativo
196;Marina Barbosa;Recife;PR;65+;Corporativo
197;Karen Alves;Brasília;PA;26-35;PF
198;Julia Monteiro;Belo Horizonte;SP;65+;PF
199;Beatriz Dias;Recife;SP;26-35;Corporativo
200;Gustavo Vieira;São Paulo;PR;;Corporativo
201;Tatiana Coelho;Belo Horizonte;CE;36-45;PF
202;Wilson Duarte;Curitiba;PE;;Corporativo
203;João Pereira;Rio de Janeiro;GO;65+;Corporativo
204;Paulo Ribeiro;Rio de Janeiro;SC;65+;Corporativo
205;Otavio Reis;Brasília;GO;;PF
206;Paulo Ribeiro;São Paulo;DF;46-55;PF
207;Helena Borges;Brasília;GO;56-65;PF
208;Quezia Nunes;São Paulo;PE;18-25;Corporativo
209;Ximena Godoi;Belo Horizonte;DF;65+;Corporativo
210;Ximena Godoi;Fortaleza;CE;;Corporativo
211;Carla Mendes;Salvador;BA;26-35;PF
212;Gustavo Vieira;Brasília;SC;56-65;Corporativo
213;Ximena Godoi;Recife;RJ;65+;Corporativo
214;Vanessa Cavalcanti;Salvador;RS;46-55;Corporativo
215;Felipe Oliveira;Salvador;PE;46-55;PF
216;Ursula Pinto;Recife;SP;18-25;Corporativo
217;Karen Alves;Recife;PE;46-55;Corporativo
218;Rafael Cardoso;Belo Horizonte;CE;18-25;PF
219;Bruno Costa;Brasília;MG;56-65;Corporativo
220;Xuxa Farias;Brasília;SC;56-65;PF
221;Carlos Neto;Curitiba;AM;18-25;PF
222;Henrique Rocha;Salvador;RJ;65+;PF
223;Ximena Godoi;Fortaleza;BA;65+;Corporativo
224;Marina Barbosa;São Paulo;SP;26-35;PF
225;Roberta Leite;Salvador;PA;36-45;Corporativo
226;Karen Alves;Curitiba;PE;65+;PF
227;Isabela Martins;Belo Horizonte;ES;46-55;PF
228;Natalia Campos;Recife;SP;18-25;Corporativo
229;Ximena Godoi;Fortaleza;SC;;PF
230;Roberta Leite;Belo Horizonte;GO;36-45;PF
231;Ximena Godoi;Belo Horizonte;MG;46-55;PF
232;Ursula Pinto;São Paulo;PE;26-35;Corporativo
233;Quezia Nunes;Belo Horizonte;ES;65+;Corporativo
234;Larissa Sousa;Rio de Janeiro;DF;26-35;PF
235;Bruno Costa;Rio de Janeiro;SP;18-25;Corporativo
236;Fernanda Cruz;Recife;CE;56-65;Corporativo
237;Thiago Matos;Brasília;RS;18-25;PF
238;Marcos Andrade;Belo Horizonte;MG;36-45;Corporativo
239;Wilson Duarte;Curitiba;PR;56-65;PF
240;João Pereira;Belo Horizonte;SP;18-25;Corporativo
241;Ursula Pinto;Fortaleza;DF;65+;Corporativo
242;Fernanda Cruz;Curitiba;BA;46-55;PF
243;Nicolas Cunha;Fortaleza;DF;36-45;PF
244;Sara Teixeira;Recife;GO;18-25;PF
245;Xuxa Farias;São Paulo;RJ;46-55;PF
246;Yuri Castro;Belo Horizonte;GO;46-55;Corporativo
247;Gabriela Lima;Recife;SC;36-45;Corporativo
248;Gustavo Vieira;Fortaleza;RJ;18-25;PF
249;João Pereira;Salvador;DF;56-65;PF
250;Larissa Sousa;Brasília;PR;56-65;Corporativo
251;Victor Gomes;Rio de Janeiro;CE;18-25;Corporativo
252;Marcos Andrade;Recife;RS;36-45;PF
253;João Pereira;Rio de Janeiro;PA;65+;PF
254;Carlos Neto;Fortaleza;PR;46-55;PF
255;Vanessa Cavalcanti;Fortaleza;PE;18-25;PF
256;Helena Borges;Salvador;SC;36-45;PF
257;Natalia Campos;Salvador;RS;26-35;PF
258;Ximena Godoi;Salvador;BA;65+;PF
259;Sara Teixeira;Belo Horizonte;SP;56-65;Corporativo
260;Sara Teixeira;Fortaleza;RJ;36-45;PF
261;Nicolas Cunha;Curitiba;ES;56-65;Corporativo
262;Paulo Ribeiro;Fortaleza;RJ;65+;PF
263;Gabriela Lima;Fortaleza;CE;26-35;PF
264;Eduardo Lopes;São Paulo;CE;26-35;Corporativo
265;Patricia Vaz;Belo Horizonte;DF;26-35;PF
266;Carla Mendes;Salvador;PA;46-55;Corporativo
267;Carla Mendes;Fortaleza;RJ;36-45;PF
268;Isabela Martins;Fortaleza;PA;56-65;Corporativo
269;Patricia Vaz;Curitiba;BA;65+;PF
270;Lucas Souza;São Paulo;DF;;Corporativo
271;Lucas Souza;Fortaleza;MG;46-55;Corporativo
272;Wilson Duarte;Brasília;BA;36-45;Corporativo
273;Samuel Fonseca;Salvador;ES;18-25;PF
274;Samuel Fonseca;Fortaleza;SP;65+;Corporativo
275;João Pereira;Curitiba;RS;65+;Corporativo
276;Wilson Duarte;São Paulo;ES;65+;PF
277;Diego Ferreira;Fortaleza;PA;56-65;PF
278;Henrique Rocha;Fortaleza;CE;26-35;Corporativo
279;Isabela Martins;Salvador;GO;46-55;Corporativo
280;Ulisses Brito;Rio de Janeiro;RJ;46-55;Corporativo
281;Beatriz Dias;Fortaleza;PR;65+;PF
282;Carla Mendes;Recife;BA;46-55;PF
283;Xuxa Farias;Belo Horizonte;SC;46-55;Corporativo
284;Patricia Vaz;Curitiba;PA;36-45;PF
285;Ana Silva;Recife;AM;18-25;Corporativo
286;Olivia Freitas;São Paulo;ES;46-55;Corporativo
287;Carla Mendes;Curitiba;AM;65+;Corporativo
288;Nicolas Cunha;Curitiba;SP;18-25;PF
289;Vanessa Cavalcanti;Rio de Janeiro;RJ;46-55;Corporativo
290;Isabela Martins;Brasília;GO;36-45;PF
291;Paulo Ribeiro;Belo Horizonte;BA;26-35;PF
292;Otavio Reis;Recife;CE;46-55;Corporativo
293;Helena Borges;Fortaleza;PR;65+;Corporativo
294;Paulo Ribeiro;Rio de Janeiro;PA;26-35;Corporativo
295;Julia Monteiro;São Paulo;SC;46-55;PF
296;Carlos Neto;Recife;PA;;PF
297;Roberta Leite;Curitiba;DF;56-65;PF
298;Eduardo Lopes;São Paulo;ES;36-45;Corporativo
299;Vanessa Cavalcanti;Curitiba;AM;46-55;PF
300;Julia Monteiro;Brasília;PR;36-45;Corporativo
301;Carlos Neto;Niterói;RJ;36-45;Corporativo
